cohort,phase,round,order,role,wall,cpu,rss,exitStatus,timedOut,outputStatus
fannkuch-redux-main-1,retained,6,1,candidate,0.349708875,0.33672399999999997,1409024,0,False,pass
fannkuch-redux-main-1,retained,6,2,baseline,0.349472333,0.338646,1392640,0,False,pass
fannkuch-redux-main-1,retained,7,1,baseline,0.346130458,0.332416,1392640,0,False,pass
fannkuch-redux-main-1,retained,7,2,candidate,0.348737541,0.338522,1409024,0,False,pass
self-build-frozen-1,warmup,1,1,baseline,1.6459525,1.5836839999999999,40009728,0,False,pass
self-build-frozen-1,warmup,1,2,candidate,1.652566292,1.562143,40189952,0,False,pass
self-build-frozen-1,warmup,2,1,candidate,1.628376667,1.541291,40124416,0,False,pass
self-build-frozen-1,warmup,2,2,baseline,1.6263985,1.55099,40058880,0,False,pass
self-build-frozen-1,retained,1,1,baseline,2.166587083,1.6302029999999998,40206336,0,False,pass
self-build-frozen-1,retained,1,2,candidate,1.637810375,1.5715890000000001,40271872,0,False,pass
self-build-frozen-1,retained,2,1,candidate,1.534399042,1.507117,40255488,0,False,pass
self-build-frozen-1,retained,2,2,baseline,1.813126583,1.601157,39813120,0,False,pass
self-build-frozen-1,retained,3,1,baseline,1.544959625,1.5160369999999999,40239104,0,False,pass
self-build-frozen-1,retained,3,2,candidate,1.560945541,1.5311219999999999,40091648,0,False,pass
self-build-frozen-1,retained,4,1,candidate,1.51835575,1.5188089999999999,40189952,0,False,pass
self-build-frozen-1,retained,4,2,baseline,1.5589135,1.521951,40124416,0,False,pass
self-build-frozen-1,retained,5,1,baseline,1.511004167,1.486332,40058880,0,False,pass
self-build-frozen-1,retained,5,2,candidate,1.525551792,1.501184,40108032,0,False,pass
self-build-frozen-1,retained,6,1,candidate,1.533746583,1.5112940000000001,40239104,0,False,pass
self-build-frozen-1,retained,6,2,baseline,1.533858084,1.500741,39944192,0,False,pass
self-build-frozen-1,retained,7,1,baseline,1.515547459,1.4924629999999999,39845888,0,False,pass
self-build-frozen-1,retained,7,2,candidate,1.517693,1.495871,40402944,0,False,pass
self-build-main-1,warmup,1,1,baseline,1.559080083,1.545916,39993344,0,False,pass
self-build-main-1,warmup,1,2,candidate,1.530782167,1.513037,40288256,0,False,pass
self-build-main-1,warmup,2,1,candidate,1.540461334,1.5108499999999998,40108032,0,False,pass
self-build-main-1,warmup,2,2,baseline,1.603178291,1.5531460000000001,39993344,0,False,pass
self-build-main-1,retained,1,1,baseline,1.842892042,1.628313,39813120,0,False,pass
self-build-main-1,retained,1,2,candidate,1.707769417,1.565002,40075264,0,False,pass
self-build-main-1,retained,2,1,candidate,1.680634333,1.540836,40353792,0,False,pass
self-build-main-1,retained,2,2,baseline,1.628148125,1.578084,40009728,0,False,pass
self-build-main-1,retained,3,1,baseline,1.7017505,1.606718,40108032,0,False,pass
self-build-main-1,retained,3,2,candidate,1.570280625,1.5210679999999999,40026112,0,False,pass
self-build-main-1,retained,4,1,candidate,1.643964291,1.554211,40501248,0,False,pass
self-build-main-1,retained,4,2,baseline,1.599249917,1.570854,40140800,0,False,pass
self-build-main-1,retained,5,1,baseline,1.674420792,1.595192,40419328,0,False,pass
self-build-main-1,retained,5,2,candidate,1.526503834,1.510213,40419328,0,False,pass
self-build-main-1,retained,6,1,candidate,1.538199083,1.5094130000000001,40009728,0,False,pass
self-build-main-1,retained,6,2,baseline,1.577922167,1.550944,40108032,0,False,pass
self-build-main-1,retained,7,1,baseline,1.661884625,1.5941739999999998,40271872,0,False,pass
self-build-main-1,retained,7,2,candidate,1.526818791,1.507607,40386560,0,False,pass
