stage,phase,iteration,order,compiler,source,wall,cpu,rss,status,valid,sha256
emit-qbe,retained,5,1,candidate,candidate,0.629066125,0.610578,31834112,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
emit-qbe,retained,5,2,candidate,baseline,0.599457625,0.584352,29982720,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
emit-qbe,retained,5,3,baseline,candidate,0.625069,0.609764,31490048,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
emit-qbe,retained,6,0,candidate,baseline,0.602445625,0.589085,30015488,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
emit-qbe,retained,6,1,candidate,candidate,0.62341775,0.6116659999999999,31948800,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
emit-qbe,retained,6,2,baseline,baseline,0.588849459,0.577831,29818880,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
emit-qbe,retained,6,3,baseline,candidate,0.626933625,0.611912,31571968,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
emit-qbe,retained,7,0,candidate,baseline,0.595978666,0.584432,29917184,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
emit-qbe,retained,7,1,baseline,candidate,0.635054625,0.621363,31522816,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
emit-qbe,retained,7,2,baseline,baseline,0.598404875,0.581845,29851648,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
emit-qbe,retained,7,3,candidate,candidate,0.642938958,0.621976,31916032,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
emit-qbe,retained,8,0,baseline,baseline,0.610917375,0.591243,29769728,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
emit-qbe,retained,8,1,baseline,candidate,0.620232375,0.6097859999999999,31571968,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
emit-qbe,retained,8,2,candidate,baseline,0.588269125,0.576178,29966336,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
emit-qbe,retained,8,3,candidate,candidate,0.646956792,0.630338,31899648,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
