metric,case,candidate,iteration,value,status
build-total,integer-kernel,native,2,0.121088,0
build-snapshot,integer-kernel,native,2,0.020127,0
build-decode,integer-kernel,native,2,0.000545,0
build-emit,integer-kernel,native,2,0.000097,0
build-qbe,integer-kernel,native,2,0.009097,0
build-link,integer-kernel,native,2,0.078813,0
build-total,integer-kernel,go,2,0.278624,0
build-total,integer-kernel,go-size,2,0.162406,0
build-total,integer-kernel,go,3,0.179647,0
build-total,integer-kernel,native,3,0.120729,0
build-snapshot,integer-kernel,native,3,0.019293,0
build-decode,integer-kernel,native,3,0.000587,0
build-emit,integer-kernel,native,3,0.00009,0
build-qbe,integer-kernel,native,3,0.011687,0
build-link,integer-kernel,native,3,0.076585,0
build-total,integer-kernel,go-size,3,0.156558,0
build-total,integer-kernel,native,4,0.106029,0
build-snapshot,integer-kernel,native,4,0.016143,0
build-decode,integer-kernel,native,4,0.000577,0
build-emit,integer-kernel,native,4,0.000115,0
build-qbe,integer-kernel,native,4,0.007506,0
build-link,integer-kernel,native,4,0.073216,0
build-total,integer-kernel,go,4,0.191927,0
build-total,integer-kernel,go-size,4,0.16824,0
build-total,integer-kernel,go,5,0.201671,0
build-total,integer-kernel,native,5,0.100643,0
build-snapshot,integer-kernel,native,5,0.014302,0
build-decode,integer-kernel,native,5,0.000533,0
build-emit,integer-kernel,native,5,0.00009,0
build-qbe,integer-kernel,native,5,0.007199,0
build-link,integer-kernel,native,5,0.070405,0
build-total,integer-kernel,go-size,5,0.153944,0
build-total,integer-kernel,native,6,0.105961,0
build-snapshot,integer-kernel,native,6,0.014716,0
build-decode,integer-kernel,native,6,0.000529,0
build-emit,integer-kernel,native,6,0.000111,0
build-qbe,integer-kernel,native,6,0.007809,0
build-link,integer-kernel,native,6,0.073953,0
build-total,integer-kernel,go,6,0.199411,0
build-total,integer-kernel,go-size,6,0.17007,0
build-total,integer-kernel,go,7,0.173883,0
build-total,integer-kernel,native,7,0.116422,0
build-snapshot,integer-kernel,native,7,0.015564,0
build-decode,integer-kernel,native,7,0.00053,0
build-emit,integer-kernel,native,7,0.000092,0
build-qbe,integer-kernel,native,7,0.012067,0
build-link,integer-kernel,native,7,0.075237,0
build-total,integer-kernel,go-size,7,0.183954,0
build-total,integer-kernel,native,8,0.119528,0
build-snapshot,integer-kernel,native,8,0.019314,0
build-decode,integer-kernel,native,8,0.000589,0
build-emit,integer-kernel,native,8,0.0001,0
build-qbe,integer-kernel,native,8,0.010732,0
build-link,integer-kernel,native,8,0.076057,0
build-total,integer-kernel,go,8,0.200006,0
build-total,integer-kernel,go-size,8,0.160816,0
build-total,integer-kernel,go,9,0.181278,0
build-total,integer-kernel,native,9,0.114093,0
build-snapshot,integer-kernel,native,9,0.015659,0
build-decode,integer-kernel,native,9,0.000663,0
build-emit,integer-kernel,native,9,0.000103,0
build-qbe,integer-kernel,native,9,0.00741,0
build-link,integer-kernel,native,9,0.081721,0
build-total,integer-kernel,go-size,9,0.176752,0
build-peak-rss,integer-kernel,native,0,35684352,0
build-peak-rss,integer-kernel,go,0,69320704,0
build-peak-rss,integer-kernel,go-size,0,59686912,0
size-raw,integer-kernel,native,0,50504,0
size-raw,integer-kernel,go,0,2429746,0
size-raw,integer-kernel,go-size,0,1587730,0
size-stripped,integer-kernel,native,0,50032,0
size-stripped,integer-kernel,go,0,2330816,0
size-stripped,integer-kernel,go-size,0,1587784,0
runtime-peak-rss,integer-kernel,native,0,1376256,0
runtime-peak-rss,integer-kernel,go,0,4128768,0
runtime-peak-rss,integer-kernel,go-size,0,4177920,0
runtime,integer-kernel,native,0,0.018426,0
runtime,integer-kernel,go,0,0.01508,0
runtime,integer-kernel,go-size,0,0.015177,0
runtime,integer-kernel,go,1,0.015349,0
runtime,integer-kernel,native,1,0.018766,0
runtime,integer-kernel,go-size,1,0.020115,0
runtime,integer-kernel,native,2,0.022654,0
runtime,integer-kernel,go,2,0.019879,0
runtime,integer-kernel,go-size,2,0.020164,0
runtime,integer-kernel,go,3,0.018498,0
runtime,integer-kernel,native,3,0.022148,0
runtime,integer-kernel,go-size,3,0.015864,0
runtime,integer-kernel,native,4,0.021642,0
runtime,integer-kernel,go,4,0.017346,0
runtime,integer-kernel,go-size,4,0.014944,0
runtime,integer-kernel,go,5,0.016093,0
runtime,integer-kernel,native,5,0.022948,0
runtime,integer-kernel,go-size,5,0.020511,0
runtime,integer-kernel,native,6,0.021965,0
runtime,integer-kernel,go,6,0.015071,0
runtime,integer-kernel,go-size,6,0.020137,0
runtime,integer-kernel,go,7,0.01925,0
runtime,integer-kernel,native,7,0.022632,0
runtime,integer-kernel,go-size,7,0.018459,0
runtime,integer-kernel,native,8,0.018898,0
runtime,integer-kernel,go,8,0.015429,0
runtime,integer-kernel,go-size,8,0.020188,0
runtime,integer-kernel,go,9,0.016054,0
runtime,integer-kernel,native,9,0.019219,0
runtime,integer-kernel,go-size,9,0.019262,0
runtime,integer-kernel,native,10,0.022689,0
runtime,integer-kernel,go,10,0.019133,0
runtime,integer-kernel,go-size,10,0.015037,0
runtime,integer-kernel,go,11,0.018608,0
runtime,integer-kernel,native,11,0.019353,0
runtime,integer-kernel,go-size,11,0.01962,0
runtime,integer-kernel,native,12,0.02297,0
runtime,integer-kernel,go,12,0.018995,0
runtime,integer-kernel,go-size,12,0.014912,0
runtime,integer-kernel,go,13,0.018118,0
runtime,integer-kernel,native,13,0.022137,0
