round,warmup,role,case,stage,input,wallSeconds,cpuSeconds,peakRssBytes,artifactBytes,artifactSha256,stdoutSha256
3,False,candidate,spectral-norm,runtime,5500,2.3632104999851435,2.19,2424832,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb
3,False,candidate,n-body,build,1000000,0.15390804200433195,0.12,39714816,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
3,False,candidate,n-body,runtime,1000000,0.46945237508043647,0.3,1392640,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,3fb938822f2b87322baee13eea59620bab076cca553f7e01214dbc674bd09387
3,False,candidate,compiler,self-build,,1.660604374948889,1.63,40419328,365768,58afb9f33bcefecf863794d85c5c3126490ee91aa39e7c4bc2f6c5674fa160b6,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
4,False,control,spectral-norm,build,5500,0.1411247921641916,0.11,39665664,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
4,False,control,spectral-norm,runtime,5500,2.396182582946494,2.2,2441216,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb
4,False,control,n-body,build,1000000,0.15287899994291365,0.12,39747584,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
4,False,control,n-body,runtime,1000000,0.47519504209049046,0.3,1392640,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,3fb938822f2b87322baee13eea59620bab076cca553f7e01214dbc674bd09387
4,False,control,compiler,self-build,,1.67250541690737,1.6199999999999999,40140800,349256,d9495f0a02c7459d2157c251f76bfe1f01aa3cc64a84cb25962211fead038f7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
4,False,candidate,spectral-norm,build,5500,0.13713404210284352,0.11000000000000001,39583744,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
4,False,candidate,spectral-norm,runtime,5500,2.3762065412010998,2.19,2408448,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb
