label,wall_precise,status,stdout_sha256,wall,cpu,rss,phase,round,role,kind,case,size
baseline-float-build,0.12260574987158179,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.09,39403520,retained,1,baseline,app-build,float,50952
same_feature-float-build,0.1179829160682857,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.1,0.09,39321600,retained,1,same_feature,app-build,float,50952
candidate-float-build,0.1243811659514904,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.1,39616512,retained,1,candidate,app-build,float,50952
baseline-float-,0.06826762505806983,0,420002158111bff8adb3347d84029e480f45e60e1869b454b6adac3345f9f7d4,0.06,0.05,1409024,retained,1,baseline,runtime,float,
same_feature-float-,0.07031420897692442,0,420002158111bff8adb3347d84029e480f45e60e1869b454b6adac3345f9f7d4,0.06,0.05,1409024,retained,1,same_feature,runtime,float,
candidate-float-,0.06848204205743968,0,420002158111bff8adb3347d84029e480f45e60e1869b454b6adac3345f9f7d4,0.06,0.05,1409024,retained,1,candidate,runtime,float,
same_feature-self-build,1.6867952919565141,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.67,1.63,40304640,retained,2,same_feature,self-build,compiler,349256
candidate-self-build,1.6513884160667658,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.64,1.6099999999999999,40484864,retained,2,candidate,self-build,compiler,349256
baseline-self-build,1.5756963749881834,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.56,1.54,40812544,retained,2,baseline,self-build,compiler,349240
same_feature-spectral-build,0.13389045814983547,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.12,0.11,39845888,retained,2,same_feature,app-build,spectral,50984
candidate-spectral-build,0.1269842078909278,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.11,39469056,retained,2,candidate,app-build,spectral,50984
baseline-spectral-build,0.13451466686092317,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.12,0.11,39550976,retained,2,baseline,app-build,spectral,50984
same_feature-spectral-100,0.01716225012205541,0,a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6,0.01,0.0,1474560,retained,2,same_feature,runtime,spectral100,
candidate-spectral-100,0.018053791020065546,0,a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6,0.01,0.0,1474560,retained,2,candidate,runtime,spectral100,
